Account,Token Account,Quantity,Percentage
39LDui81K3Si8xhTNj21A6XfN5LaienkmdzSdzpBF38A,DFuVgTgtFzd58SsX36fJ4bjf7ut6ets2ipiMwpqXzabj,690001.86,0.07
2ttgWERkX6xvABe1kQaR3HX3gzRrmtTvwp98gAo7A7xU,9qi4YPktADvRUuV2cpAVH6xiY5wvrKvcDEnDozofPv1K,609375.51,0.06
NVahWzkGTp9yywLdsj6CVXNwi2sSp8Yfzs6ZiUmdqFt,5HBxS1CzqteU46g2eyW1CZpk965d7xEADxYN8H2RXeEr,604769.89,0.06
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,EFFH3z6CdrNQncgvdLJtW5yG9kZ9VdtmwbvHhPQfdpRt,582084.48,0.06
2MuksSkNrwqh5KR7bbfEVNbhCZHTzY5hKeQHhJyDhd6M,G3bXuTUVMRQf96krsFKmUC1BdK4UixdHanYkZ3r9RBoT,538320.74,0.05
ByRzaW4gVDvJtoWTkAuFhsRDvrJspBSjri4C7kR3F9Ds,3i98D6U1pXxQCQkUyAcEEdALKLuYxYudbmc6GRFPgPtc,532625.81,0.05
HHbBYTC7S5gQ9E4FTzdAJRyc41SNhT4PhHubwJ8Jn4kn,2CCVTei9VmsF3LaemARsYwpJ6CfnidXgLxcjdbjcxSbh,526749.11,0.05
BMbGqxTsg7kksCR5Y3XqPQkEnLEVsKjsyZRo5eihi5Ec,3QEHukfGtnq6spXBKpXke1ZE87yyFeRGz2vvteyhKgg1,520507.47,0.05
5A9nBGxfXniaFoJ8KeeJfdS87qiJXALZi6xrpNjofjKD,E9fNLwBL7sZRys12iG7eoeSDztoj9zDS77NeiwuaR2mc,502380.69,0.05
G7iULF9jjVVk852MNhDSejz49ctaRGk77VzcevfqxqnC,E74t7dDGAGDCzGPAZA1oj51AcEGeePTaakD1QesskSN3,489492.65,0.05
25KZfpsm11P7pi9YQRwmCNga5Ad97PyH3TGKbQQLY8o4,9wpLrSpM4meYcSNY3gB4LBUfSksCCE2jm6UHXceS1R1m,488798.78,0.05
E1rkgcoe2wjoiQbn3ovHttH2uZhKjNFggrBqb5cUvcv8,AJ42mbSTgeMkWqKLiRcMXBVfhoPR4bEs1W5pbZYqTxQw,470437.83,0.05
HCWyQgKj5k5bD3ALMTV3fLFoGaNrUzJPs9UxLwYRZHvB,JBYbvnH9uM74m8bcQDkcWgCVgeCtF5yGC5pmct1AZP5v,459096.78,0.05
2qHT25rDtBzBRtWLHo4hzxRPNrGHDKiMJPzLUbLeKemD,8MHk3vReNpBYpyfitPFChUY9zv5fpnSfPZccP637KbZv,458781.59,0.05
4aX7FdPxCuNp7b8GrZLmwSNLX1GmHgstVGukhYXH8tem,E99xZcK2mzwbiUaCn957QLmzgzFw5zTAqoos3EusN6jM,458672.9,0.05
32BGubz3baGYhA77RTSgpyFkM8VrMQDEEbfoKjyH8U2j,2eeh7w1Dy2br9ED1JfsTv5Qs2Vxaxi4vLTQ7Qjvp4ggt,455326.65,0.05
57BVF78WDELaaZcvwKVeeUZwnKyLSq2DZKLQyfaGhjZk,7trbXTYKvmf4n9t819Mv1wpEAbuwXMU7TetCe98W5Puq,448418.19,0.04
21V4E52UU9F25RDo2vuV7YkxFbgmFhqs1qqMMryZe9Q4,DZM5mo1N7WQsXKgJS64e5zpCRaVxP7QdWASRcc9KQ6YV,446458.66,0.04
